,Area,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
20,Bolivia (Plurinational State of),800.0,900.0,1150.0,1450.0,1500.0,1500.0,2900.0,1800.0,2912.0,1545.0,4100.0,4967.0,5299.0,6000.0,3200.0,2900.0,3614.0,4640.0,3255.0,2968.0,6918.0,2700.0,8387.0,5147.0,5800.0,6700.0,6531.0,4508.0,10234.0,5162.0,7752.0,13737.0,10155.0,10796.0,6769.0,9059.0,12555.0,5054.0,1940.0,7503.0,11529.0,13341.0,12916.0,18125.0,24636.0,15478.0,24556.0,20088.0,22962.0,31177.0,34778.0,35166.21,43796.73,40473.99,40560.630000000005,33953.09,39571.549999999996,35632.0,29616.78,48886.8
21,Bosnia and Herzegovina,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15000.0,9000.0,9000.0,47000.0,42000.0,41800.0,32600.0,32600.0,17957.0,59808.39,59032.81,43331.09,46079.46,59662.22,72566.97,81856.0,103895.0,121106.20999999999,102550.04,120754.61,130701.0,110711.0,112867.47,87220.9,88784.14,91472.79
22,Botswana,1110.0,1100.0,1100.0,1600.0,2100.0,2120.0,2700.0,1500.0,1500.0,1700.0,1650.0,1750.0,1900.0,1961.0,2400.0,2000.0,2100.0,2100.0,1100.0,1400.0,1400.0,1800.0,1300.0,1200.0,451.0,678.0,900.0,900.0,900.0,900.0,900.0,900.0,1000.0,1000.0,2284.0,3341.0,3800.0,4248.0,4600.0,4600.0,4600.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15359.0,21530.0,9616.0,15628.0,22545.0,23253.0,17142.15,12180.85,8614.49,15116.66,13335.69,13335.69
23,Brazil,270004.0,256082.0,297782.0,247651.0,278878.0,276059.0,447925.0,601709.0,630384.0,1001917.0,1122718.0,1624339.0,1672557.0,1824637.0,1977696.0,2528141.0,3208894.0,3222386.0,3567039.0,4200519.0,2752786.0,2729081.0,2286911.0,3445377.0,3203388.0,3931000.0,3887200.0,3728237.0,3362304.0,3207800.0,3386800.0,3535540.0,4450000.0,5017800.0,4205900.0,5020000.0,5839900.0,5851100.0,5869772.0,6568000.0,6838000.0,7685196.21,8905665.74,10975249.620000001,8425089.3,9028448.81,11549175.6,10768013.79,7540435.57,10424767.719999999,13081009.129999999,12116475.02,14147326.89,15363337.57,12809826.43,13243632.77,15386626.259999998,16386486.870000001,16546145.71,20366563.82
24,Brunei Darussalam,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,500.0,188.0,545.0,213.0,845.0,895.0,1260.0,400.0,700.0,400.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,672.0,204.0,303.0,617.0,132.0,1131.0,338.0,412.0,1727.0,470.0,454.0,223.0,709.0,709.0,709.0,709.0,709.0,709.0,709.0
25,Bulgaria,143733.0,150791.0,174965.0,283856.0,360722.0,476842.0,607079.0,842326.0,692272.0,638814.0,635856.0,646074.0,632911.0,567403.0,679070.0,657854.0,741613.0,737715.0,820264.0,829700.0,1044000.0,1010600.0,1008900.0,938000.0,889400.0,846000.0,796500.0,903000.0,806852.0,684900.0,471583.0,236963.0,204939.0,225068.0,124000.0,192000.0,199829.0,169000.0,122606.0,151500.0,200082.0,381693.0,489569.0,267862.0,235538.0,231580.0,314699.0,343518.0,329073.0,309212.0,432518.0,318000.0,379692.0,379288.0,428191.0,482548.0,455782.15,458520.43,472183.94,486187.33
26,Burkina Faso,29.0,110.0,77.0,97.0,100.0,100.0,100.0,200.0,456.0,572.0,884.0,1102.0,603.0,1200.0,1200.0,4800.0,6865.0,9874.0,7210.0,4308.0,9852.0,10429.0,13277.0,11456.0,12136.0,16340.0,17852.0,15113.0,20598.0,21166.0,20686.0,21336.0,21000.0,22651.0,24308.0,24095.0,42577.0,50232.0,43400.0,33923.0,1671.0,2010.0,52996.0,57687.0,74694.0,63000.0,49495.0,57207.0,53876.0,56571.0,61004.0,81401.83,95856.94,95284.54,97724.36,130641.1,109044.72,105432.81999999999,57060.75,103086.86
27,Burundi,0.0,0.0,0.0,0.0,0.0,100.0,100.0,100.0,254.0,555.0,788.0,806.0,581.0,950.0,747.0,531.0,759.0,1110.0,900.0,1100.0,1100.0,1300.0,2767.0,1809.0,2331.0,3100.0,2600.0,2600.0,4700.0,2100.0,2100.0,5201.0,3844.0,3100.0,3000.0,2800.0,1000.0,3615.0,3970.0,3500.0,3500.0,1325.0,301.0,1095.0,3390.0,3009.0,1716.0,1954.0,1768.0,3446.0,5635.0,6375.16,11161.75,12978.17,10003.5,17299.57,21301.95,28537.11,24224.44,24224.44
28,Cabo Verde,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
29,Cambodia,4997.0,980.0,1350.0,1550.0,1600.0,1650.0,4400.0,4000.0,5600.0,3464.0,3142.0,2300.0,2000.0,1400.0,100.0,100.0,0.0,0.0,0.0,8100.0,19000.0,10900.0,4800.0,1700.0,0.0,0.0,600.0,100.0,300.0,4100.0,5700.0,11000.0,14600.0,10600.0,9800.0,7800.0,21900.0,7620.0,0.0,0.0,0.0,25667.92,20289.859999999997,25205.45,38693.340000000004,38182.21,37586.1,36516.96,49037.24,58570.659999999996,76246.26000000001,103569.45999999999,94065.62,105371.25,116937.61,84569.72,159147.83000000002,170073.82,173645.77,180963.58000000002
30,Cameroon,3250.0,3250.0,5300.0,6900.0,8500.0,12000.0,13212.0,17209.0,14349.0,20255.0,14900.0,12261.0,16180.0,16954.0,12500.0,13049.0,34000.0,35600.0,32608.0,32024.0,34966.0,33834.0,42669.0,48243.0,49100.0,45400.0,49800.0,36675.0,28600.0,21800.0,18100.0,20900.0,22304.0,30000.0,30000.0,34000.0,39190.0,39533.0,49510.0,46084.0,52502.0,58221.0,48605.0,65934.0,47698.0,53859.0,51418.0,39102.0,41758.0,57282.0,68423.0,64081.55,62361.7,59650.42,84263.94,67602.46,80775.96,80291.94,80292.59,82989.04
31,Canada,401603.0,457626.0,499430.0,560038.0,693508.0,812258.0,886190.0,721630.0,728462.0,802120.0,879500.0,1015738.0,1208879.0,1239800.0,1307700.0,1335500.0,1624800.0,1794800.0,1807700.0,1938500.0,1945800.0,2063600.0,2339200.0,2468800.0,2324700.0,2160700.0,2221000.0,2130677.0,2166183.0,2073852.0,2173084.0,2261141.0,2359214.0,2394685.0,2567805.0,2696330.0,2726000.0,2649000.0,2689240.0,2445389.0,2474115.0,2635197.0,2685508.0,2481366.0,2798402.0,2120036.0,3065439.0,2830666.0,2726361.0,3002013.0,3612675.0,3911963.27,3646000.0,3885000.0,3995000.0,3825000.0,3921000.0,4326000.0,4067000.0,5061000.0
32,Central African Republic,307.0,320.0,370.0,400.0,800.0,1100.0,1300.0,1600.0,1928.0,2223.0,2100.0,1813.0,1657.0,2930.0,1700.0,1600.0,1700.0,1600.0,100.0,1454.0,1256.0,700.0,453.0,1200.0,2900.0,676.0,811.0,577.0,768.0,940.0,900.0,1100.0,1200.0,300.0,300.0,300.0,300.0,600.0,600.0,600.0,600.0,78.77,0.32,129.92000000000002,245.07999999999998,428.03,604.1,399.28000000000003,406.06,539.67,800.51,507.31,259.06,10.79,613.21,404.37,336.18,336.18,337.9,337.9
33,Chad,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
34,Chile,46248.0,67486.0,81533.0,83927.0,87286.0,111596.0,98431.0,99416.0,106273.0,129487.0,128205.0,126579.0,171280.0,158785.0,90559.0,117791.0,101732.0,126889.0,140212.0,132736.0,114374.0,107825.0,137695.0,180057.0,204652.0,261566.0,277400.0,292300.0,310520.0,306682.0,306000.0,344000.0,385000.0,381000.0,405000.0,423000.0,435000.0,470000.0,475196.0,482000.0,474800.0,476027.0,485593.0,568711.0,473292.0,509481.0,604313.0,615981.0,540474.0,568699.0,491894.0,488978.0,518411.0,532147.0,595439.0,495014.73,454821.64,454350.8,460239.74,490426.92000000004
35,China,728000.0,989600.0,1247000.0,1677000.0,2604000.0,3719000.0,2697000.0,2696000.0,3474000.0,4407000.0,4566400.0,5247200.0,6443800.0,5575700.0,6851600.0,6420000.0,9133300.0,10861000.0,13081800.0,15334700.0,15152500.0,16395500.0,18633300.0,20062400.0,17279000.0,17323200.0,22687766.0,25321905.0,25428196.0,27273700.0,29659100.0,29202000.0,25079300.0,28842000.0,35580200.0,35984000.0,35646700.0,35830000.0,36439000.0,34217868.0,35345643.0,40512183.47,39970993.300000004,42891635.94,45703675.72,45812574.86,47055310.480000004,45576221.37,47015554.03,51506660.48,53181723.44,54074042.97,53777340.769999996,55612824.95,55558055.64,54867173.46,53196893.75,50222287.42,47553426.13,45796067.65
36,"China, Hong Kong SAR",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
37,"China, Taiwan Province of",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,481877.0,459194.0,473591.0,443799.0,464844.0,452695.0,413504.0,407801.0,421679.58,410684.61,416185.91,417340.18000000005,403179.91000000003,392265.69,403965.2,376526.05,372423.73,349806.9,370239.32
38,"China, mainland",728000.0,989600.0,1247000.0,1677000.0,2604000.0,3719000.0,2697000.0,2696000.0,3474000.0,4407000.0,4566400.0,5247200.0,6443800.0,5575700.0,6851600.0,6420000.0,9133300.0,10861000.0,13081800.0,15334700.0,15152500.0,16395500.0,18633300.0,20062400.0,17279000.0,17323200.0,22687766.0,25321905.0,25428196.0,27273700.0,29659100.0,29202000.0,25079300.0,28842000.0,35580200.0,35984000.0,35646700.0,35830000.0,36439000.0,34217868.0,35345643.0,40030306.47,39511799.300000004,42418044.94,45259876.72,45347730.86,46602615.480000004,45162717.37,46607753.03,51084980.9,52771038.83,53657857.06,53360000.59,55209645.04,55165789.95,54463208.26,52820367.7,49849863.69,47203619.230000004,45425828.32
39,Colombia,71000.0,104000.0,138795.0,161243.0,130800.0,130848.0,143500.0,148163.0,140606.0,144384.0,184220.0,206259.0,255600.0,249900.0,215267.0,246079.0,292400.0,291114.0,312424.0,312300.0,280000.0,303400.0,317560.0,362490.0,365200.0,437529.0,498299.0,512100.0,524282.0,602300.0,601200.0,511400.0,514900.0,497800.0,486200.0,485000.0,556700.0,595900.0,585900.0,658200.0,619719.0,716155.5599999999,758380.36,814692.6,744738.59,797882.99,790437.74,739770.35,657384.27,841767.81,925700.52,926638.69,899856.44,1080136.04,1041429.6799999999,1086586.94,1208108.37,1149625.6,1092418.12,1251453.5899999999
40,Comoros,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
41,Congo,600.0,900.0,1300.0,1500.0,1700.0,2035.0,2187.0,4000.0,6324.0,7141.0,7600.0,7200.0,5706.0,4300.0,2300.0,2625.0,5.0,0.0,90.0,512.0,518.0,1738.0,1600.0,2900.0,4700.0,2500.0,1700.0,700.0,539.0,1575.0,1400.0,2000.0,2000.0,1900.0,2000.0,4000.0,4000.0,5000.0,5000.0,5000.0,4625.0,0.0,0.0,1299.0,32.0,26.0,176.0,366.0,2289.0,276.0,697.0,1191.43,1610.12,1037.21,2272.58,1192.39,1269.98,1292.68,2341.13,5421.969999999999
42,Cook Islands,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.0,47.0,26.0,54.0,65.0,9.0,52.0,54.0,19.0,19.0,26.61,23.35,12.17,64.03,48.379999999999995,21.09,20.689999999999998,22.4,37.37
43,Costa Rica,18687.0,24214.0,34500.0,33000.0,24500.0,28800.0,30600.0,47800.0,54180.0,49365.0,57273.0,47800.0,64000.0,72500.0,66100.0,55692.0,66543.0,79880.0,79100.0,73500.0,72400.0,72000.0,88300.0,96300.0,80600.0,85000.0,95000.0,100870.0,107000.0,108600.0,116400.0,122800.0,107500.0,129000.0,122000.0,149200.0,191000.0,199000.0,184000.0,167000.0,117173.0,125838.31,193130.4,157722.77000000002,143542.47999999998,177548.43,171608.71,183141.97999999998,84252.81,116846.49,163810.44,147396.02,136843.35,131434.40999999997,158026.2,149709.24,160067.88,162064.89,154805.53,160512.5
