,Area,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989
12,Bangladesh,3798.0,3861.0,4359.0,4461.0,3189.0,5106.0,5757.0,6105.0,6204.0,7596.0,9510.0,20069.47,19972.82,24752.93,31669.7,36087.18,42099.649999999994,50692.08,58874.42,41301.65,39725.58,32007.29,28485.57,32407.72,33310.82,40085.700000000004,43156.02,45426.34,30288.98,30288.98,46511.409999999996,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,Barbados,1100.0,1100.0,1100.0,1100.0,1028.0,1328.0,950.0,505.34,336.92,336.92,336.92,336.92,336.92,336.92,336.92,336.92,336.92,336.92,336.92,336.92,336.92,336.92,336.92,336.92,336.92,336.92,336.92,336.92,336.92,336.92,336.92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,Belarus,0.0,0.0,9793.77,9793.77,9793.77,9793.77,9793.77,9793.77,9793.77,9793.77,9793.77,9793.77,9793.77,9793.77,9793.77,9793.77,9793.77,9793.77,9793.77,9793.77,9793.77,9793.77,11364.02,10958.68,9941.86,7127.68,6513.83,7113.1,7571.02,8341.86,9178.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,Belgium,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28291.27,25162.11,18408.0,17644.0,18372.0,19552.0,16488.04,19854.25,19265.2,16230.22,13628.22,16976.31,18162.86,17422.4,19210.12,19308.79,19603.0,18366.0,18858.0,17399.0,15825.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,Belgium-Luxembourg,18148.42,18148.42,18148.42,26935.63,24966.73,26554.239999999998,25836.76,24587.8,26815.27,26124.460000000003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,Belize,1542.0,1392.0,1994.0,2115.66,2237.34,2359.0,2480.66,2602.34,2724.0,2724.0,2592.0,3438.0,3058.55,2679.08,2299.62,1920.15,1947.45,1838.56,2496.57,2186.68,1857.8,2171.16,1783.9,2719.2400000000002,2383.36,2769.21,3279.66,3099.63,3421.87,2743.8399999999997,3482.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,Benin,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,Bhutan,43.67,40.86,30.28,25.05,127.28,156.82000000000002,175.95,9.78,11.32,11.790000000000001,15.160000000000002,5.1,3.75,10.32,13.29,4.1899999999999995,11.86,14.1,11.63,11.36,13.12,18.14,14.88,10.790000000000001,6.75,21.62,650.02,132.52,183.23,674.6800000000001,69.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,Bolivia (Plurinational State of),4936.06,3381.64,1882.0,2599.76,3305.72,4011.68,4717.64,5423.59,6129.55,6835.51,7541.49,8247.45,8953.41,9659.37,12906.35,14291.86,15543.66,16853.81,17739.63,20561.56,25938.7,27678.36,28806.09,34141.84,32946.4,31924.190000000002,32784.78,94836.0,93203.27,77070.51,83346.31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,Bosnia and Herzegovina,0.0,0.0,4370.38,4338.950000000001,4325.26,4288.84,4330.34,4369.55,4296.36,4356.09,4344.74,4349.39,4416.17,4355.04,4327.9400000000005,4473.57,4429.950000000001,4495.92,4547.160000000001,4444.94,4474.58,4659.1900000000005,4692.07,4675.22,4675.91,4641.45,4858.58,4915.25,4999.15,5023.14,5446.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
