Area Code,Area Code (M49),Area,Item Code,Item,Element Code,Element,Unit,Y1990,Y1990F,Y1991,Y1991F,Y1992,Y1992F,Y1993,Y1993F,Y1994,Y1994F,Y1995,Y1995F,Y1996,Y1996F,Y1997,Y1997F,Y1998,Y1998F,Y1999,Y1999F,Y2000,Y2000F,Y2001,Y2001F,Y2002,Y2002F,Y2003,Y2003F,Y2004,Y2004F,Y2005,Y2005F,Y2006,Y2006F,Y2007,Y2007F,Y2008,Y2008F,Y2009,Y2009F,Y2010,Y2010F,Y2011,Y2011F,Y2012,Y2012F,Y2013,Y2013F,Y2014,Y2014F,Y2015,Y2015F,Y2016,Y2016F,Y2017,Y2017F,Y2018,Y2018F,Y2019,Y2019F,Y2020,Y2020F
4,'012,Algeria,1355,Other Pesticides nes,5157,Agricultural Use,tonnes,121.53,E,198.79,E,140.39,E,32.29,E,85.25,E,253.21,E,8.71,E,21.04,E,67.47,E,84.16,E,84.16,I,84.16,I,84.16,I,84.16,I,84.16,I,84.16,I,84.16,I,84.16,I,84.16,I,84.16,I,84.16,I,84.16,I,84.16,I,84.16,I,84.16,I,84.16,I,84.16,I,84.16,I,84.16,I,84.16,I,84.16,I
7,'024,Angola,1357,Pesticides (total),5157,Agricultural Use,tonnes,64,E,79,E,23,E,169,E,25.5,E,336,E,40,E,40,E,40,E,40,E,40,E,40,E,40,E,40,E,40,E,40,E,40,E,40,E,40,E,40,E,40,E,40,E,40,E,40,E,40,E,40,E,40,E,40,E,40,E,40,E,40,E
7,'024,Angola,1309,Insecticides,5157,Agricultural Use,tonnes,56,A,74,A,13,A,153,A,22,A,205,A,37,A,37,I,37,I,37,I,37,I,37,I,37,I,37,I,37,I,37,I,37,I,37,I,37,I,37,I,37,I,37,I,37,I,37,I,37,I,37,I,37,I,37,I,37,I,37,I,37,I
7,'024,Angola,1310,Insecticides – Chlorinated Hydrocarbons,5157,Agricultural Use,tonnes,30,A,40,A,1,A,20,A,1,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,'024,Angola,1311,Insecticides – Organo-phosphates,5157,Agricultural Use,tonnes,17,A,12,A,2,A,24,A,12,A,197,A,10,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,'024,Angola,1312,Insecticides – Carbamates,5157,Agricultural Use,tonnes,5,A,5,A,5,A,20,A,,,,,8,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,'024,Angola,1313,Insecticides – Pyrethroids,5157,Agricultural Use,tonnes,4,A,17,A,3,A,37,A,7,A,6,A,10,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,'024,Angola,1315,Insecticides – Other,5157,Agricultural Use,tonnes,,,,,2,A,52,A,2,A,2,A,9,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,'024,Angola,1320,Herbicides,5157,Agricultural Use,tonnes,0,I,0,I,2,A,1,A,1,I,129,A,1,A,1,I,1,I,1,I,1,I,1,I,1,I,1,I,1,I,1,I,1,I,1,I,1,I,1,I,1,I,1,I,1,I,1,I,1,I,1,I,1,I,1,I,1,I,1,I,1,I
7,'024,Angola,1322,Herbicides – Triazines,5157,Agricultural Use,tonnes,,,,,1,A,,,,,111,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,'024,Angola,1324,Herbicides – Carbamates,5157,Agricultural Use,tonnes,,,,,,,,,,,18,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,'024,Angola,1327,Herbicides – Other,5157,Agricultural Use,tonnes,,,,,1,A,1,A,,,,,1,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,'024,Angola,1331,Fungicides and Bactericides,5157,Agricultural Use,tonnes,5,A,5,A,8,A,13,A,0.5,A,1,A,1,I,1,I,1,I,1,I,1,I,1,I,1,I,1,I,1,I,1,I,1,I,1,I,1,I,1,I,1,I,1,I,1,I,1,I,1,I,1,I,1,I,1,I,1,I,1,I,1,I
7,'024,Angola,1332,Fung & Bact – Inorganics,5157,Agricultural Use,tonnes,,,,,7,A,7,A,0.2,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,'024,Angola,1333,Fung & Bact – Dithiocarbamates,5157,Agricultural Use,tonnes,,,,,1,A,,,0.3,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,'024,Angola,1337,Fung & Bact – Other,5157,Agricultural Use,tonnes,5,A,5,A,,,6,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,'024,Angola,1345,Rodenticides,5157,Agricultural Use,tonnes,3,A,0,I,0,I,2,A,2,A,1,A,1,A,1,I,1,I,1,I,1,I,1,I,1,I,1,I,1,I,1,I,1,I,1,I,1,I,1,I,1,I,1,I,1,I,1,I,1,I,1,I,1,I,1,I,1,I,1,I,1,I
7,'024,Angola,1346,Rodenticides – Anti-coagulants,5157,Agricultural Use,tonnes,3,A,,,,,2,A,2,A,1,A,1,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,'028,Antigua and Barbuda,1357,Pesticides (total),5157,Agricultural Use,tonnes,7.52,E,7.52,E,7.52,E,7.52,E,7.52,E,7.52,E,7.52,E,7.52,E,7.52,E,7.52,E,7.52,E,7.52,E,7.52,E,7.52,E,7.52,E,7.52,E,7.52,E,7.52,E,7.52,E,7.52,E,7.52,E,39.26,E,31.5,E,28.3,E,27.47,E,26.64,E,26.86,E,27.07,E,27.28,E,27.49,E,13.98,E
